company_name,Job_Position,Questions,Answers
Wipro,Machine Learning,What is the difference between a parametric and a non-parametric model?,"Parametric models assume a specific form for the function, while non-parametric models do not make such assumptions."
Wipro,Machine Learning,Explain the concept of gradient descent and its variants.,Gradient descent is an optimization algorithm used to minimize a function by iteratively moving towards the steepest descent.
Wipro,Machine Learning,What is feature engineering and why is it important?,Feature engineering involves creating new features or modifying existing ones to improve model performance.
Wipro,Machine Learning,How do you handle imbalanced datasets?,"Imbalanced datasets can be handled using techniques like resampling, SMOTE, or adjusting class weights."
Wipro,Machine Learning,What is the role of a hyperparameter in machine learning?,Hyperparameters are configuration settings used to tune the performance of machine learning models.
Wipro,Machine Learning,Explain the concept of ensemble learning.,Ensemble learning combines predictions from multiple models to improve overall performance.
Wipro,Machine Learning,How does a decision tree algorithm work?,"A decision tree splits data into subsets based on feature values, forming a tree-like structure."
Wipro,Machine Learning,What is the k-nearest neighbors algorithm?,The k-nearest neighbors algorithm classifies data points based on the majority class of their nearest neighbors.
Wipro,Machine Learning,Describe how a support vector machine works.,A support vector machine finds the hyperplane that best separates different classes in the feature space.
Wipro,Machine Learning,How do you assess the performance of a regression model?,"The performance of a regression model is assessed using metrics like RMSE, MAE, and R^2 score."
Wipro,NLP,What are the challenges in NLP?,"Challenges in NLP include handling ambiguity, understanding context, and processing diverse languages."
Wipro,NLP,Explain the concept of bag-of-words.,Bag-of-words is a representation of text data where each word is represented by its frequency in the document.
Wipro,NLP,What is a POS tagger and how does it work?,"A POS tagger assigns parts of speech (e.g., noun, verb) to each word in a sentence."
Wipro,NLP,Describe the term 'sentiment analysis'.,"Sentiment analysis involves determining the sentiment expressed in a text, such as positive, negative, or neutral."
Wipro,NLP,What is the difference between rule-based NLP and statistical NLP?,"Rule-based NLP relies on predefined linguistic rules, while statistical NLP uses machine learning models."
Wipro,NLP,Explain the use of recurrent neural networks in NLP.,Recurrent neural networks (RNNs) are used in NLP to process sequences of text by maintaining a memory of previous inputs.
Wipro,NLP,What is attention mechanism in NLP models?,The attention mechanism in NLP models helps focus on specific parts of the input sequence when generating outputs.
